index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
1436,The Rembrandts,"The Rembrandts have sold millions of albums, earned a Grammy nomination, and garnered critical acclaim. Their signature harmonies and catchy hooks have attracted fans all around the world. With additional Top 40 hits like ""Johnny Have You Seen Her,"" ""Someone,"" ""Burning Timber"" and ""This House Is Not A Home"" the band continues to tour 25 years after their first hit. They are also the the pop-rock duo who co-wrote “I’ll Be There For You” otherwise known as the “Friends Theme” song, which garnered a Grammy nomination, spent eight weeks at No. 1 on the U.S. Billboard Hot 100 Airplay chart, topped the charts in Canada and Scotland, and continues to find new audiences thanks to Friends reruns. Their new album, Via Satellite, will be released this August.
Via Satellite, The Rembrandts first studio album in 18 years, features meticulous, guitar-driven songs that explore every nook and cranny of the pop continuum.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Pop,"Los Angeles, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/1e20b800fcd5cfbb359e8e0421f955a34d3bc7f44193c2ab844f4ec1829e5be2.mp3,The Rembrandts at Lamberts,"Mar 15, 2019",10:00pm-10:40pm,Lamberts
1437,Rene,"Hailing from San Marcos, Texas, Rene (formerly known as Kid Evo) is a newcomer to the music scene, but far from new to making music. Creating music from the age of 12, Rene wrote songs and melodies that came from his experiences and now serve as a foundation for his unique R&B style. It's the realness in his music and the sharing of personal stories and circumstances that prompted the recent name change from Kid Evo to his real name, Rene. ""I feel like I make real music that's personal and relatable, for that reason I didn't feel right going by an alias anymore. I want my fans to feel like they know the real me."" Rene represents the renaissance in the R&B realm. While his persona is modest and may appear shy, when he gets on stage, he shows that he's earned his place among his musical peers. He plans to continue releasing music, videos, and content in the coming months, with the possibility of touring nationally on the horizon.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",R & B,R & B,"Houston, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/d4031999d54ce4b1e47dcec1bfa9a923096fca09da3c89e01e0c3def7412cb2a.mp3,Rene at The Belmont,"Mar 15, 2019",9:10pm-9:25pm,The Belmont
1438,Renick Bell,"""Renick Bell is one of [the algorave] scene’s more flabbergasting producers,"" writes Mixmag magazine.
Tokyo-based Renick Bell, an early member of the algorave movement, improvises bass-heavy algorithmically-generated music full of percussion and noise by live coding with open source software, including software he has written called Conductive. 
In 2018 he released the album ""Wary"" on 2018 Grammy-nominated producer Rabit's Halcyon Veil label and another, ""Turning Points"", on Seagrave Records. The latter was ranked 19 of ""The 50 Best Albums of 2018"" by FACT magazine and one of ""10 under-the-radar releases you may have missed from the last three months"" in the third quarter of 2018 by Dazed Magazine. It was also reviewed by Joe Muggs in his column for Bandcamp as part of ""Best New Electronic: August 2018"". In 2016 he released his Empty Lake EP on Lee Gamble's UIQ label. In 2016, UIQ was called one of the 10 best record labels of the year by FACT magazine. He has played at Berlin Atonal in a collaboration with Fis and at the Unsound festival in Krakow, Poland.
He is also an active academic researcher on live coding, algorithmic art, and aesthetics.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Electronic,Avant / Experimental,"Tokyo, JAPAN",,Renick Bell at The Main II,"Mar 12, 2019",1:20am-1:50am,The Main II
1439,Renni Rucci,No description provided for artist.,Hip-Hop / Rap,None,"Hopkins, NC",,Renni Rucci at Barracuda,"Mar 14, 2019",12:20am-12:50am,Barracuda
1440,*repeat repeat,"*repeat repeat was founded by Jared Corder — a former punk-rock kid raised on the sounds of Bad Religion & Black Flag. The goal was simple: to make edgy, guitar-driven music that nodded to the classic sounds of Jared's California birthplace, complete with hazy harmonies and surf-inspired arrangements. The problem? The group needed a female harmony singer, and nobody seemed to fit the bill. Things changed when the band's producer suggested that Jared's wife, Kristyn, sing with the band. The fit was natural. Kristyn had grown up in California, listening to '60s legends like the Mamas and the Papas & The Everly Brothers. She quickly completed the band, sharing vocal duties with Jared and serving as the inspiration for much of Bad Latitude — a debut album largely written by Jared during the couple's engagement.
Floral Canyon (their sophomore album) stretches the band's musical envelope, adding depth, drive, and darkness to the sun-baked, surf-tinged pop that's always been their bedrock. Gluing everything together is the band's melodic, musical attack: equal parts percussive thunder, trembling organ, synth pads, coed harmonies, and wide-ranging guitar parts.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Indie Pop,"Nashville, TN",http://audio.sxsw.com/2019/mp3_by_artist_id/2c6ceae829a84fcc9fef524459c19543383b7c30b91ebdcce480d8593e7e4384.mp3,*repeat repeat at Barracuda Backyard,"Mar 15, 2019",9:45pm-10:25pm,Barracuda Backyard
1441,Reptaliens,"Inspired by sci-fi art and literature, cult mentality, and deep connections, Reptaliens constructed songs ranging from themes of simulated realities, stories of stockholm syndrome, and drugged out paranoid futuristic realities resembling prophecies found in a mid 60's Philip K Dick novel.  Within their self-defined genre of “dreamwave”, musical influences ranged from Gary Wilson-esque jazzy/lounge chord progressions, to the warmth of Broadcast’s recording production and fidelity, to Todd Rundgren-esque outer space synth sounds.  In their first year as an active band, Reptaliens signed to Brooklyn’s Captured Tracks label and released their debut album.
Reptaliens craft a unique cast of costumed actors who accompany the band onstage with eccentric skits, bizarre imagery featuring cloaked lizard humanoids exposing conspiracy theories, religious priests, cult figures erotically dancing, and long armed aliens feeding fruit to the audience.  
Reptaliens tirelessly toured their debut album, FM-2030, throughout 2017-2018 supporting STRFKR, Cults, and Of Montreal, and are currently on tour in anticipation of their sophomore album, VALIS, which debuts April 27th, 2019.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Dream Pop,"Portland, OR",http://audio.sxsw.com/2019/mp3_by_artist_id/1733b4d73071277df97168c2eea6c6f51f0aba14a99aee710cc83bd3fe4115e2.mp3,Reptaliens at Maggie Mae's Rooftop,"Mar 13, 2019",12:00am-12:40am,Maggie Mae's Rooftop
1442,Republican Hair,"New wave punk band Republican Hair taps the flamboyant musicality of The Cars, Devo, The
Clash, and The Talking Heads, and tosses it into a blender with the dark satire of Kurt Vonnegut
and the wry observational wit of David Sedaris. Within a narrative context, the band waxes
absurd and poetic about the apocalypse, courtship rituals, and manners, among other things.
Republican Hair is the brainchild of Luke Dick, an Oklahoma born, Nashville based songsmith who
has penned hits for the likes of Eric Church, Miranda Lambert and Kacey Musgraves. He also
spent some time in NYC where he wrote jingles for HBO’s Boardwalk Empire and Hilton hotels
and was an adjunct philosophy professor. All that aside, Republican Hair might be his greatest
headpiece yet.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - UK/Europe, Sync/Music Supervisors",Rock,Alternative,"Nashville, TN",http://audio.sxsw.com/2019/mp3_by_artist_id/48c14711fef61643dde4e1596fc2d96af28fec3da8ae402a52fc4884ee4d1b8a.mp3,Republican Hair at Augustine,"Mar 14, 2019",11:45pm-12:20am,Augustine
1443,The Reputations,"The Reputations are the culmination of many years of combined experience in the Austin music scene. With rock and roll, pop, and soul tones reminiscent of the late 60’s and 70's, members of bands such as The Bad Lovers and Bobby Jealousy have come together to cultivate a new groove for Austin.
Their new record - Electric Power - came out November 2018 on Nine Mile Records. It was recorded and mixed at legendary Ardent Studios in Memphis, TN and produced by none other than Jody Stephens of Big Star (his first ever production credit!).
The band has already made a huge mark in Central Texas with their incendiary live shows. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Sync/Music Supervisors",Rock,Soul,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/3299b50169c2a644716a1d749f06d79b7553893ca4c9f495dadb5e0f87a9c240.mp3,The Reputations at Esther's Follies,"Mar 13, 2019",11:30pm-12:10am,Esther's Follies
1444,Revelation Mizik,No description provided for artist.,Gospel,Caribbean,"Miami, FL",,Revelation Mizik at Sheraton BackYARD,"Mar 16, 2019",7:15pm-7:30pm,Sheraton BackYARD
1445,Rev Rev Rev,"Named as 'One of Europe’s finest ’gazer bands of the last decade' [Daily Bandcamp], Rev Rev Rev remetabolize shoegaze and psych rock elements in a loud, woozy, fuzz-driven way.
Since their debut, their signature wall-of-sound inspired rave reviews and single “Catching a buzz” got airplay on BBC6 by the likes of Steve Lamacq, Radcliffe & Maconie.
Praised by influential outlets like Drowned in Sound, Clash, Decay FM, their sophomore “Des Fleurs Magiques Bourdonnaient” pushed even further the borders of their sonic belligerence. The album, out via Northern Light (CA) and CMM (US),  sold out in 3 months, leading to a reprint on US label Neon Sigh (Telescopes, Ringo Deathstarr). 
Their live set at Manchester's Cosmosis Festival, headlined by The Jesus & Mary Chain, Brian Jonestown Massacre and WIRE, kickstarted a 44 date tour touching UK, France, Belgium, Austria, Switzerland and Italy, during which the band shared the stage with The Telescopes, Ringo Deathstarr and Gonjasufi.
A new album, produced by James Aparicio (Spiritualized, Desert Mountain Tribe) is due for release in 2019 via cult psych label Fuzz Club.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Publishing, Sync/Music Supervisors",Rock,Shoegaze,"Modena, ITALY",http://audio.sxsw.com/2019/mp3_by_artist_id/6b5e38f5509e0496ed4bb1dd359ded4917f6909b917f7246e1f06295ad9c3917.mp3,Rev Rev Rev at The Velveeta Room,"Mar 13, 2019",11:00pm-11:40pm,The Velveeta Room
1446,Reyna Tropical,"""Reyna Tropical"" is Fabi Reyna and Sumohair, they met for the first time in Nashville, Tennesse on behalf of Red Bull Music Academy's Bass Camp at Bonnaroo. They got into the studio the same day they met, recorded a track that would later inspired ""Reyna Tropical"". In the nature of experimentation they record each track in one session of improvisation. 
Reyna Tropical Released their first E.p in 2018, Toured North America with Bomba Stereo for the Jungla Tour. Exploring the diaspora thru tropical sounds, their music is a beautiful blend of Tropical Indie with electronica. Upcoming E.p is set to be released before the summer.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Latin Urban,Electro Tropi,"Los Angeles, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/a446434f6b7c7eb44f74a39e72a355b4ff9ff375222385a397fde7939fdc0bcc.mp3,Reyna Tropical at The Main II,"Mar 12, 2019",7:40pm-8:20pm,The Main II
1447,RF Shannon,"The music of RF Shannon explores the liminal spaces in American music, distilling the essence of minor blues with swampy soul in one moment,  then falling from the edge of a forlorn canyon and into the expanse of western psychedelia the next. Shane Renfro, songwriter for the group, refers to their music as ""the shadow side of historical southwestern sounds... like a kind of desert blues but with American folk and pop roots"". The band began in 2014 and soon became well known in their hometown of Austin, Texas for curating shows in enchanting and often hard to reach locales (caves, islands, etc). In 2018 they received national attention for their album 'Trickster Blues'. They are currently recording and mixing a new record.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Americana,Psychedelic,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/749bcc6cbc036dee4939e1d4e9f12decc08b28d0b0c5f9c0c24815b80a11c51d.mp3,RF Shannon at Augustine,"Mar 12, 2019",8:00pm-8:40pm,Augustine
1448,Rhys Langston,"Rhys Langston is a vocalist, producer, and multi-disciplinary artist born, raised, and based in Los Angeles, CA.  Live in concert and recorded, his works are available in high-definition stereo and full-frontal honesty.  The former, his performance ability, sees a junction between beat-based music, stand-up comedy, and avant-garde poetry.  His studio work relishes in its (mostly) self-produced-and-contained polish, with songs' concepts and sounds ranging from crooning ballads about a relationship's MSRP to post-Migos lamentations on microaggressions, unemployment, and post-grad blues.  
Consequently, he has earned the kind praises of AFROPUNK, Passion of the Weiss, LA Weekly (pre-buyout), TinyMixtapes, LA Record Magazine, EARMILK, and other respectable outlets. 
He remains the poet laureate of his living room, and has a higher vertical leap than your favorite rapper.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Other Artists to Tour With, Booking Agent - US",Hip-Hop / Rap,None,"Los Angeles, CA",,Rhys Langston at ScratcHouse Backyard,"Mar 15, 2019",9:00pm-9:20pm,ScratcHouse Backyard
1449,Rich Aucoin,"Born, raised and currently based in Halifax, Canada, Rich Aucoin has been fully immersed in music ever since he can remember, learning how to play almost any instrument he could get his hands on while also teaching himself production and home-recording. A philanthropist at heart, he’s raised money for several charities with his music. He has cycled coast to coast twice for both Childhood Cancer Canada and The Canadian Mental Health Association/Mental Health America; cycling to each show.
Release was inspired by a wide range of music such as David Bowie, Holly Herndon, Fatboy Slim, Bijork, John Lennon, Future Islands, Caribou and Chic just to name a few. These influences are evident in his music, as his diverse sound could be compared to a mix of MGMT, Beck, Arcade Fire, Spoon, and M83 all the while still maintaining his own unique blend of organic and synthetic instrumentation. His third album, Release, sees Aucoin grapple with the concept of mortality by using Alice in Wonderland (1951) as a metaphor for the journey. Again, the album can be played as alternate soundtrack along to the film.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Electronic,Alternative,"Halifax, NS, CANADA",,Rich Aucoin at Bungalow,"Mar 13, 2019",1:00am-1:50am,Bungalow
1450,Rich Mutts,"A Native of Connecticut, Rich Mutts always had a passion for creating music/poetry. During Hip Hop’s
“Mixtape Era,” Rich began to generate buzz throughout the tri - state area (Connecticut, New York, New
Jersey). Through Hip Hop publications, radio features and showcases alongside Jim-e- o, he gained
momentum with his lyrical ability to captivate his audience. After receiving his undergraduate degree in
Social Work from the University of Connecticut, he settled in Los Angeles, California while he developed
his craft in the music industry. He quickly connected with industry figures and relocated to Atlanta,
Georgia to work alongside Jive Records/ Konvict Music/ Gang ent. recording artist “Dolla.” Though the
time working with “Dolla” was limited due to his unfortunate passing in 2008, Rich attributes much of the
inspiration to his tutelage. After returning to Connecticut in 2012, he and Grammy Award winning
Producer/ Songwriter John Conte Jr shifted their focus on fostering the development of the next
generation of creative artists. With the emergence of social media platforms such as “Murge,” he
gradually began to regain passion for creating and inspiring others through artistry. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Soul,"New Haven, CT",,Rich Mutts at The Main II,"Mar 14, 2019",11:15pm-11:25pm,The Main II
1451,Rick Maguire (from Pile),"From Wikipedia:
Pile is an American indie rock band from Boston, Massachusetts. Starting as the solo act of Rick Maguire in the late 2000s, Pile has been a collective since the release of ""Magic Isn't Real"" in 2010.[1] To date, Pile has released six full-length albums and two singles. In recent years the band has gained increasing popularity, becoming a prominent part of the Boston indie rock scene and frequently touring through both the US and Europe.[2][3] While remaining outside of the mainstream, the band has been repeatedly recognized for captivating a particularly enthusiastic and dedicated fan base.[4][5] Their sound has been described by The Village Voice as a ""distinct blend of melted guitars"" with ""howling-wolf vocals and shred-free guitar harmonies"".[6]
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Gear Endorsement",Singer-Songwriter,Indie Rock,"Boston, MA",,Rick Maguire (from Pile) at Beerland,"Mar 14, 2019",10:00pm-10:40pm,Beerland
1452,Rico Nasty,"If you don’t speak up, you’ll never be heard. Rico Nasty certainly has no problem speaking up… 
“Yes, I am a girl,” she exclaims. “Yes, I am going as hard as all of these motherfucking dudes are. Yes, I am loud. If you’re female, get some confidence from what I’m doing. I’m the representation of a lot of girls who don’t get love.”
Backing up those points, the DMV rapper, producer, and singer has continually both shown and proven her mettle on the mic time and time again since dropping her first mixtape—Summer’s Eve—back in high school. A string of viral singles such as 2016’s “iCarly” and “Hey Arnold” lit up the internet as her breakout mixtape Tales of Tacobella received praise from Washington Post, XXL, Pigeons & Planes, and more. Next up, the 21-year-old opened up a bold, bloody, and bright world of her own on Sugar Trap 2 accompanied by alter egos Tacobella and Trap Levine (Think Rainbow Brite participating in “Purge” night). “Poppin” appeared on HBO’s hit series “Insecure,” and she joined forces with Lil Yachty on “Mamacita” for the chart-dominating Fate of the Furious Official Soundtrack. In the aftermath, she signed to Atlantic Records. 
Showing no signs of stopping, 2018 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"DMV, MD",,Rico Nasty at The Main,"Mar 12, 2019",8:20pm-8:50pm,The Main
1453,Rico Pressley,"Mike WiLL Made-it and the Ear Drummers team are introducing the label’s newest signee, Rico Pressley,​ with the
release of two strikingly diverse tracks. Hailing from Marietta, Georgia (the same hometown as Mike WiLL himself),
the 19-year old artist fits in seamlessly with the Ear Drummers’ southern-rooted roster, and sonically, he’s already
signaling his own promising trajectory. “I.F.W.I​” and “Socialite​” encapsulate the energy that Rico first revealed at this
year’s SXSW​ performance when he opened for Rae Sremmurd. “I.F.W.I” is an easy-to-digest banger with its trappy,
piano-based beat filled with gritty 808s, and in “Socialite” Pressley taps an intriguing falsetto reminiscent of Swae
Lee’s bridge from the SremmLife 2 stand-out, “Swang”. Coming on the heels of this year’s Ear Drummers releases--
Trouble’s “Edgewood” mixtape and Rae Sremmurd’s innovative three-sided album “SR3MM”-- Rico Pressley’s
signing was announced by Mike WiLL via Twitter, noting that his debut mixtape, SKIPP’N SCHOOL LIKE FERRIS, is ​
coming soon. Up until signing, Rico had amassed over 200,000 plays from a small but dedicated following on
SoundCloud. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"Marietta, GA",,Rico Pressley at Barracuda,"Mar 14, 2019",1:00am-1:40am,Barracuda
1454,Ric Wilson,No description provided for artist.,Hip-Hop / Rap,Soul,"Chicago, IL",,Ric Wilson at Palm Door on Sabine,"Mar 13, 2019",12:00am-12:40am,Palm Door on Sabine
1455,Riders Against the Storm (RAS),"As comfortable in small intimate venues as they are on large festival stages, RAS transforms every audience they reach with a refreshing magic and flair that few possess today. In everything they touch, ceremony scrapes the floor and atmosphere - hopping through, from seam to seam, cloaked in their own ideas of regalia and change, Riders Against the Storm cast out invitations to world - come and party. From beginning to end, audiences need to get ready for what Deborah Senguptah Stith (Austin American Statesman music writer) calls a 'post-milennial second-coming of George Clinton's mothership.'
Aside from headlining many shows throughout the country, RAS has opened for national recording acts, including: K'Naan, KRS-ONE, Wu-Tang Clan, Raekwon, Talib Kweli, Yasiin Bey (Mos Def), Slick Rick, Pharoahe Monch, PJ Morton, Dam Funk, Nas, Nitty Scott, Rakim, Damian Marley, ?uestlove (of The Roots), Antibalas, Sun Ra Arkestra, Devin the Dude, The Coup, Michael Franti, Dead Prez, The Geto Boys, George Clinton, Jean Grae, and Saul Williams.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,World,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/2820eeaccc462c1a76a5a622b73bbc6ab75287ba705de79b52afd751992717dd.mp3,Riders Against the Storm (RAS) at Palm Door on Sixth,"Mar 17, 2019",9:40pm-10:10pm,Palm Door on Sixth
1456,RIKKIE KHRI$T,"With a background in the punk/metal Chicago scene RIKKIE KHRI$T is set to bring new life into the current rap landscape.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Hip-Hop / Rap,Alternative,"Chicago, IL",http://audio.sxsw.com/2019/mp3_by_artist_id/2a9f6a27f0a36ea395ad1cb649e55a721ab442733a998a09c8a2dae5ba6e28a5.mp3,RIKKIE KHRI$T at Palm Door on Sixth,"Mar 16, 2019",10:40pm-10:55pm,Palm Door on Sixth
1457,Riley,"Riley is a harlem-born up-and-coming rapper with a unique voice that draws influence from the likes of Jay-Z, Nas, Tupac, and Fabolous. Riley’s rap career was sparked by his love of battle rap and guidance from industry mentors. He has been working on his own project as well as a feature on Wyclef Goes Back to School. Riley’s first single, Retail Therapy was released on October 3, 2018.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop,"New York, NY",http://audio.sxsw.com/2019/mp3_by_artist_id/71354d4321797ffd197f54d50efe5a3e4dacfcf8f52a504fc9a78a9c49f15f2b.mp3,Riley at Parish,"Mar 14, 2019",9:00pm-9:40pm,Parish
1458,Riley!,"""Real Emo"" only consists of the dc Emotional Hardcore scene and mf RILEY!. This group of friends spend their free time stupefying audiences all over the world their with killer guitar tones, gnarly riffs, and debatably relatable lyrical content. Infused with the power known as rock and roll, RILEY! is not a force to be reckoned with.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Emo,"McAllen, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/035273d516ed19cd8494521b0a52e86d7860cd8f0b7be724006213bacff6b4ff.mp3,Riley! at Hotel Vegas,"Mar 15, 2019",7:10pm-7:40pm,Hotel Vegas
1459,Ringo Deathstarr,No description provided for artist.,Rock,Alternative,"Austin, TX",,Ringo Deathstarr at Hotel Vegas Patio,"Mar 14, 2019",10:35pm-11:10pm,Hotel Vegas Patio
1460,Ritt Momney,"Ritt Momney is the musical project of Jack Rutter, who formed the band during high school in 2017. Currently, a live Ritt show features Rutter on vocals/guitar/keys, Jonas Torgersen on guitar, Noah Hamula on bass, and Sam Olson on drums.
Aged 17-19, the band keeps busy playing local and regional shows, between which Rutter remains holed up in his basement working on a debut Ritt Momney LP, entitled ""Her and All of My Friends."" The album's release is scheduled for 2019.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Sync/Music Supervisors",Rock,Indie Rock,"Salt Lake City, UT",http://audio.sxsw.com/2019/mp3_by_artist_id/63eba605dd43d614e3fc31e18bcad036150d5d798c31737066041b4577c0bb46.mp3,Ritt Momney at ScratcHouse Backyard,"Mar 14, 2019",12:00am-12:40am,ScratcHouse Backyard
1461,Rizha,"Rizha is a singer, producer, composer and lyricist (born in Argentina in 1999) named by Mtv as ""The exquisite rarity of underground music"" and ""The youngest musical genius of Spain"" by the 40 Principales. 
She was devoted to music from an early age and her professional musical career began when she joined Universal Music Publishing at 13 years old. Since then she has not stopped sharing her music with the world, reaching the biggest radios in Spain.
On January 31st 2017 she released her first album ""Finally"", made entirely by herself. 
A few days after, songs from the album were playing on multiple radios such as Los 40 Principales, Radio3... and more.
Finally's weird, lo-fi, synth, raw, spacey sounds and it's personal, oneiric vibe rapidly became very intriguing to the public and press who were both very welcoming.
She then released Lifted, an EP in collaboration with one of her best friends and producer Chesko.
The EP was also well-recieved by the press and public. One of the songs (Go) was featured in the tv series ""SKAM"".
Rizha is now working on future projects while she's in college studying philosophy.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Pop,Alternative,"Madrid, SPAIN",http://audio.sxsw.com/2019/mp3_by_artist_id/f2998a2cb4bbba0f41967f63bdbed52051ea172774fb7e99acaa1f0fe74415f1.mp3,Rizha at 720 Club,"Mar 13, 2019",8:00pm-8:40pm,720 Club
1462,Riz LaVie,No description provided for artist.,Hip-Hop / Rap,Hip-Hop / Rap,"New Jersey, NJ",,Riz LaVie at Empire Garage,"Mar 12, 2019",8:50pm-9:05pm,Empire Garage
1463,Rizzoo Rizzoo,"When it comes the infrastructure of the modern Houston sound, The Sauce Factory has played a pivotal part into the way the rest of the nation looks at Texas' emerging soundscape. One of the X Factors in the collective that has been gaining steam is Rizzoo Rizzoo.
His exuberant and outlandish sense of confidence and swagger separates himself from the rest of the pack when it comes to artists in the South. With hits such as ""Off The Lot"", ""4 Deep"" and ""Wannabe"", he's crafted an archive that speaks volume on his range of turn up music but also still having the ability to move a crowd with array of hits. Going at this rate, Rizzoo is poised to be one of Texas most unique stars on the verge of achieving national success. - Gregory Harris
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency",Hip-Hop / Rap,Hip-Hop / Rap,"Houston, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/1fc75d3c78ea29a3229b0c3e9b380cb8561317a7faf29d707456151a9c802a05.mp3,Rizzoo Rizzoo at Ironwood Hall,"Mar 13, 2019",11:50pm-12:05am,Ironwood Hall
1464,Rob4Real,"Rob4Real has been making a name for himself the past 3 years Rapping, Producing, Playing Instruments, and frontman of a few bands. Dropping THREE projects in 2018 and one dropping 3/14/19, Rob isnt stopping anytime soon. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Gear Endorsement, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US",Hip-Hop / Rap,Post-Punk,"Denver, CO",http://audio.sxsw.com/2019/mp3_by_artist_id/7c95d99b108c296d46a420708cb4f299d6ef389086a002c4b19b3ff21dc2fc73.mp3,Rob4Real at Mohawk Indoor,"Mar 16, 2019",8:00pm-8:10pm,Mohawk Indoor
1465,Robbie Fulks & Linda Gail Lewis,"Wild! Wild! Wild!, the new collaboration between Grammy-nominated singer-songwriter Robbie Fulks and rock-and-roll royalty Linda Gail Lewis, gleefully lives up to its title. It’s Americana music that’s as butt-shakin’ as Beale Street, deep-rooted as the Grand Ole Opry, and hip as a trip to The Strip. Subversive as it is reverential, the album jumps the genre tracks of nitty-gritty rock-and-roll, country-and-western, rockabilly, jump swing, and gospel, landing in a strange slice of spacetime—call it 1954—when all these were One (and Linda was 7). 
Robbie Fulks, the record’s producer, is “one of the most observant and wry songwriters of the past two decades” (Rolling Stone). Ground-zero Louisiana-born rocker Linda Gail Lewis is the younger sister and frequent performing partner of Jerry Lee Lewis, whose piano innovations she carries forward. Her present-at-the-creation cred buoys the record while Robbie—who sings, plays, leads the band, writes most of the songs, and arranges the others—provides an anchoring sensibility, one that savors old sounds but sidesteps nostalgia. Their two talents have fashioned a record that’s urgent, honest, and fun. Remember fun?
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Americana,Rockabilly,"Chicago, IL",http://audio.sxsw.com/2019/mp3_by_artist_id/88fe2739f6836898b946e826cf50f5be1cd976d647679a501910fd5e700021de.mp3,Robbie Fulks & Linda Gail Lewis at Victorian Room at The Driskill,"Mar 14, 2019",12:00am-12:40am,The Driskill
1466,Robert Ellis,No description provided for artist.,Americana,Country,"Austin, TX",,Robert Ellis at Mohawk Outdoor,"Mar 15, 2019",9:00pm-9:40pm,Mohawk Outdoor
